"ygr","infl","intr"
0.998355,1.272939,3.961681
-2.9e-05,0.706485,3.601532
1.782609,3.031347,4.7711
-0.774914,0.663534,3.744109
1.46792,2.436509,4.230222
0.675468,1.795258,5.387947
0.956617,3.928136,6.087751
1.591398,3.089065,6.079993
1.141561,4.349036,7.032392
1.016049,6.530647,8.050878
-1.009592,4.715022,8.171451
-0.384255,3.524623,8.271111
0.573882,2.284125,8.105424
0.629551,2.476752,7.01793
-0.437289,0.588089,5.87376
0.502452,0.099733,3.421328
-0.358083,-0.710286,3.525494
1.438469,0.915124,3.171502
-0.013796,-0.097785,2.747676
2.012617,0.473738,3.531535
1.830404,2.200152,3.813833
-2.261499,0.222557,4.453782
0.824348,0.049241,4.052347
1.302338,1.517304,3.40767
0.305857,1.085946,2.524146
0.033079,1.160285,2.691479
0.425019,0.909911,1.823996
0.580636,1.266425,1.298978
0.589442,1.120334,0.702254
-2.078428,-0.495049,0.599841
2.688203,0.577462,0.250118
0.444391,-0.476463,0.834105
-0.519465,-0.635339,0.612217
0.11203,-0.363691,0.237115
0.062978,-1.216488,0.308348
0.42442,1.084499,0.172446
3.110255,0.759618,0.412441
-0.312508,-0.310771,0.441791
0.505908,0.709036,-0.202749
1.233544,0.566921,1.123239
2.339665,2.59781,1.927725
-1.512936,2.164419,2.587954
-0.740189,0.534415,1.534088
0.052832,-2.224492,0.139769
2.075648,-0.067862,-0.935329
0.151625,-0.758776,-0.238463
0.337943,0.254,0.448678
2.322997,1.185763,1.632855
-1.129807,2.226264,2.83011
-1.027848,0.330172,2.369893
0.956818,0.588347,2.169379
0.629853,0.718131,1.347093
0.749649,1.112118,1.260806
1.376173,0.230264,0.789089
0.993271,1.403984,-0.359143
0.23944,2.605002,1.292911
0.880326,3.53296,2.14754
0.142313,1.11501,3.132436
0.739839,1.976617,3.193198
-0.891321,0.206764,2.246191
0.866831,-0.183281,1.413271
0.643779,-0.66307,1.064626
-0.681867,-1.026824,0.993676
1.958739,0.745254,0.373481
2.07258,1.892483,-0.511261
-0.154051,0.668887,-0.628668
1.798032,2.698849,1.249436
-0.566556,1.685117,0.948282
1.075956,2.384261,1.609737
-0.580133,1.27638,2.160195
1.078373,1.390964,1.93708
0.774206,1.10268,2.369192
1.100775,2.32035,2.328357
-0.177334,1.077737,2.87665
0.492277,1.485535,4.38744
1.857178,3.45455,6.306577
0.660782,4.427177,7.788162
-0.795092,1.34141,7.127607
0.235493,2.348076,7.09914
-1.215302,1.154315,6.816563
-0.006832,-0.277199,5.657124
2.673049,1.396232,5.182169
0.038479,1.960608,5.50219
-0.030196,2.599996,5.332827
0.906785,1.845126,3.942469
0.930667,1.977519,2.544777
1.333147,2.337842,3.287793
0.41285,4.042546,2.757502
0.922956,5.701432,3.137648
0.209378,2.683791,2.757475
0.833117,3.956118,4.182632
-1.055015,2.26521,5.880086
1.619943,3.128422,5.794053
0.627652,3.558438,4.949277
0.292792,2.368482,3.915404
-0.04111,3.376461,4.531091
0.080381,1.171792,4.140922
